Mebol, 101 FW, 101 TC, 101 TW, 102 FC, 102 FW, 102 TC, 102 TW, 103 FC, 103 FW, 103 TC, 103 TW, 104 FC, 104 FW, 104 TC, 104 TW, 105 FC, 105 FW, 105 TC, 105 TW, 110 FC, 110 FW, 110 TC, 110 TW, 111 FC, 111 FW, 111 TC, 111 TW, 112 FC, 112 FW, 112 TC, 112 TW, 113 FC, 113 FW, 113 TC, 113 TW, 114 FC, 114 FW, 114 TC, 114 TW, 124 FC, 124 FW, 124 NB FC, 124 TC, 124 TW, 125 FC, 125 FW, 125 TC, 125 TW, 126 FC, 126 FW, 126 TC, 126 TW, 127 FC, 127 FW, 127 TC, 127 TW, 128 FC, 128 FW, 128 TC, 128 TW, 201 FC, 201 FW, 201 TC, 201 TW, 202 FC, 202 FW, 202 TC, 202 TW, 203 FC, 203 FW, 203 TC, 203 TW, 204 FC, 204 FW, 204 TC, 204 TW, 205 FC, 205 FW, 205 TC, 205 TW, 210 FC, 210 FW, 210 TC, 210 TW, 211 FC, 211 FW, 211 TC, 211 TW, 212 FC, 212 FW, 212 TC, 212 TW, 213 FC, 213 FW, 213 TC, 213 TW, 214 FC, 214 FW, 214 NB FW, 214 TC, 214 TW, 215 FC, 215 FW, 215 TC, 215 TW, 216 FC, 216 FW, 216 TC, 216 TW, 217 FC, 217 FW, 217 TC, 217 TW, 218 FC, 218 FW, 218 TC, 218 TW, 219 FC, 219 FW, 219 TC, 219 TW, 226 FC, 226 FW, 226 TC, 226 TW, 227 FC, 227 FW, 227 TC, 227 TW, 228 FC, 228 FW, 228 TC, 228 TW, 229 FC, 229 FW, 229 TC, 229 TW, 230 FC, 230 FW, 230 TC, 230 TW,101 FC
Cer 40:2 [M+H-H2O]+_737,4407,NAN,2647,1352,6169,NAN,4486,NAN,4172,NAN,3085,1150,5080,1346,2713,NAN,4742,NAN,4031,4901,6859,6653,9667,1652,4310,NAN,3170,1945,8256,1629,6214,NAN,5355,NAN,2450,NAN,3731,1305,3920,NAN,5936,NAN,NAN,6257,2070,5766,1134,5575,NAN,3673,NAN,3422,NAN,3666,1091,2740,1445,4996,NAN,6807,NAN,6191,NAN,2403,2254,5691,NAN,2999,1115,3525,NAN,3756,NAN,4015,NAN,3102,1439,6470,NAN,5805,2070,4707,NAN,2713,1890,5480,1159,6081,NAN,3842,NAN,2236,1002,4045,1107,4825,3478,9415,2121,2209,6615,NAN,5242,NAN,3627,1149,5440,NAN,5171,1002,5435,NAN,5127,1583,5003,NAN,6240,2221,7346,NAN,3752,1193,6214,NAN,5613,NAN,3295,NAN,1750,1208,4980,1464,5887,NAN,5032,NAN,2042,1102,3428,NAN,3077,1312
Cer 41:2 [M+H-H2O]+_6202,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1021,NAN,1150,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1108,NAN,NAN,NAN,1302,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1270,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1170,NAN,1266,NAN,NAN,1092,NAN,1360,NAN,NAN,NAN,1213,NAN,1169,NAN,NAN,NAN,NAN,NAN,1322,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 41:2 [M+H-H2O]+_432,10473,1268,5471,2480,10262,1149,9005,1554,7616,1910,5856,1841,9418,1967,5589,1078,7649,NAN,6749,8653,18294,12054,22643,3174,7122,1663,5342,4489,15405,3514,11967,1567,9043,1540,4349,1582,5932,2071,5301,2057,11427,1141,1249,10174,4181,12228,2347,10145,1727,7086,1439,6499,2086,5795,1995,4041,2925,9257,1478,11866,1254,10429,1606,4293,3849,10968,1767,5171,3492,6853,1474,6150,1490,5919,1652,4690,2659,11696,1179,11253,5235,10084,1233,6028,3557,8435,2426,9694,1264,5523,NAN,3028,1627,6922,1579,8780,6184,18991,4819,3243,11283,1591,9628,1323,5226,2310,11676,1446,10484,2060,11252,1117,9609,3084,9803,1576,10877,3884,12350,1487,5936,2171,10671,1452,9269,2143,6160,1011,3032,2050,9424,2157,11159,1626,9168,1264,3520,2168,6191,1384,5704,2741
Cer 42:2 [M+H-H2O]+_3958,NAN,NAN,NAN,NAN,NAN,NAN,1898,NAN,1719,NAN,1245,NAN,2040,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1056,NAN,NAN,NAN,NAN,NAN,1172,NAN,NAN,NAN,NAN,NAN,1563,NAN,NAN,NAN,1082,NAN,NAN,NAN,NAN,NAN,NAN,1239,NAN,2489,NAN,NAN,NAN,1354,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1186,NAN,NAN,NAN,NAN,NAN,NAN,1032,NAN,NAN,1680,NAN,1100,NAN,1591,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1256,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1065,NAN,1486,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1389,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2049,NAN,NAN,NAN,NAN,NAN,1465,NAN,1496,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1480,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_4820,1320,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1345,NAN,1154,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1466,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1103,NAN,NAN,1280,NAN,2654,NAN,1795,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1893,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2017,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2620,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1264,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1543,NAN,NAN,NAN,NAN,NAN,1483,NAN,1499,NAN,1059,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_5266,1657,NAN,1179,NAN,NAN,NAN,NAN,NAN,1201,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1318,1265,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1351,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2017,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1156,NAN,1140,NAN,NAN,NAN,1020,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1226,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1410,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1129,NAN,1041,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_6523,NAN,NAN,NAN,NAN,1272,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1538,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1291,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1519,NAN,1545,NAN,NAN,NAN,1288,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1229,NAN,NAN,NAN,NAN,NAN,1214,NAN,1165,NAN,1102,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_6287,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1006,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1305,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1464,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1012,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1416,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1306,NAN,NAN,NAN,1482,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1225,NAN,NAN,NAN,NAN,NAN,1206,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_2180,3180,NAN,NAN,NAN,2350,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1855,NAN,1181,NAN,NAN,NAN,1491,NAN,2138,1888,3488,NAN,1879,NAN,NAN,NAN,2590,NAN,NAN,NAN,2352,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2045,NAN,NAN,1896,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2339,NAN,2649,NAN,NAN,NAN,3349,NAN,NAN,NAN,1838,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3248,NAN,3381,NAN,2567,NAN,2322,NAN,1913,NAN,2356,NAN,NAN,NAN,NAN,NAN,1540,NAN,2381,NAN,4908,NAN,NAN,2384,NAN,2251,NAN,NAN,NAN,3281,NAN,2717,NAN,3234,NAN,3026,NAN,2277,NAN,2338,NAN,2777,NAN,NAN,NAN,2673,NAN,2424,NAN,1223,NAN,NAN,NAN,2938,NAN,2361,NAN,1810,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_503,14900,NAN,7530,1764,13696,NAN,8493,NAN,11188,1308,5335,NAN,5909,NAN,5124,NAN,7230,NAN,4410,NAN,7394,2799,9952,2875,6937,NAN,5671,2508,10502,1249,8344,NAN,6338,1014,4152,NAN,8697,1395,9318,1468,13404,NAN,NAN,10780,2631,10741,1260,7670,NAN,6918,NAN,6720,NAN,9140,1181,5084,1782,8308,NAN,11198,NAN,17740,1838,7265,3517,10517,NAN,4026,1226,7835,NAN,6664,NAN,7432,NAN,5104,1573,9322,NAN,9591,6105,15216,NAN,8956,NAN,7068,NAN,6816,NAN,7662,NAN,5045,NAN,6000,NAN,8076,2814,12321,4190,NAN,5887,NAN,7748,NAN,3905,1223,11394,NAN,10854,1020,8405,NAN,7491,1492,11361,NAN,13966,2201,9384,NAN,4204,1005,8597,NAN,8678,2273,8033,NAN,3879,NAN,11135,NAN,11011,NAN,7873,NAN,2605,1379,5408,NAN,4360,3279
Cer 42:2 [M+H-H2O]+_243,20023,4574,15754,7594,15812,1750,17634,2353,16320,5512,16672,3815,11672,3015,15491,2262,14182,NAN,16029,1677,15470,10966,18678,12160,18772,2845,17388,6773,16963,3418,17556,3180,16571,3929,13463,2538,15736,6085,19871,4127,16102,5254,2344,14153,8324,15045,4087,14777,4385,12387,2585,15507,4651,15778,5307,12744,4602,9200,1891,12339,3272,21422,12569,20161,18025,22000,7739,20490,9540,19591,2108,20183,6570,19919,4794,19455,8564,20862,2164,19712,17048,17529,1459,16940,3760,15296,1146,18144,3690,15482,1330,14659,2511,17380,2620,22578,13796,21854,10941,4817,19744,7014,22232,2729,18883,7903,20649,2826,21204,6845,16267,1694,18078,8302,21899,2336,18225,12783,16848,1586,15633,5035,16232,2223,15958,8900,14340,1409,11925,1942,14549,2144,16527,2591,14171,1244,10066,7147,12375,3390,14266,11909
Cer 42:2 [M+H-H2O]+_3281,1370,NAN,NAN,NAN,1214,NAN,NAN,NAN,1129,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1709,NAN,2310,NAN,1136,NAN,NAN,NAN,1401,NAN,1240,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1324,NAN,NAN,1168,NAN,1491,NAN,1297,NAN,1000,NAN,1025,NAN,1027,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2101,NAN,NAN,NAN,1580,NAN,NAN,NAN,1039,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1454,NAN,1813,1020,1627,NAN,1342,NAN,NAN,NAN,1079,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1543,NAN,2184,NAN,NAN,1076,NAN,1471,NAN,NAN,NAN,1843,NAN,1586,NAN,1570,NAN,1324,NAN,1474,NAN,1355,NAN,1552,NAN,NAN,NAN,1014,NAN,1005,NAN,NAN,NAN,NAN,NAN,1203,NAN,1500,NAN,1039,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_5104,2235,NAN,1187,NAN,1555,NAN,NAN,NAN,1302,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1097,NAN,1343,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1816,NAN,NAN,NAN,1242,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1841,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1085,NAN,NAN,NAN,NAN,NAN,1130,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1423,NAN,1429,NAN,NAN,NAN,NAN,NAN,1260,NAN,1459,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1211,NAN,1446,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_3363,1422,NAN,NAN,NAN,1074,NAN,1127,NAN,1142,NAN,NAN,NAN,1314,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1180,NAN,1148,NAN,1195,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1030,NAN,NAN,NAN,1120,NAN,1221,NAN,1146,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1098,NAN,NAN,NAN,NAN,NAN,1354,NAN,1553,NAN,1292,NAN,1293,NAN,NAN,NAN,1147,NAN,1315,NAN,1269,NAN,NAN,NAN,1241,NAN,1463,NAN,1469,NAN,1301,NAN,1118,NAN,1075,NAN,1196,NAN,1170,NAN,NAN,NAN,NAN,NAN,1254,1112,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1382,NAN,1477,NAN,1038,NAN,1103,NAN,1341,NAN,1275,NAN,1598,NAN,NAN,NAN,1506,NAN,1252,NAN,1118,NAN,NAN,NAN,1001,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_51,188685,19357,101006,37918,199233,11816,159611,11984,135837,19917,86603,26382,173071,27497,111051,13139,128555,8755,116244,78852,167042,132599,246512,44786,123925,13167,88918,41808,196172,31585,148207,20994,162131,23162,79456,15500,93372,26038,96499,29599,198658,16766,13844,164677,59918,208385,31532,178693,21811,124102,14646,106142,15606,83102,18254,53598,40211,144817,14457,200016,12789,190717,23137,80825,70315,203113,24370,94197,25918,124747,10490,100780,19344,87448,20403,73970,45217,216269,13894,212420,83959,172103,11544,117015,31079,120507,13210,145132,15507,114365,8804,61279,22249,132245,22587,169105,87602,261446,88755,39583,170358,23661,175102,16998,99197,36473,205318,16225,191753,35541,201800,12958,194567,46282,159240,18118,177717,65471,228017,16147,120327,29557,195555,17176,190221,34882,121383,10473,53779,22570,172954,22981,192712,17079,160105,10447,51999,28664,85981,17032,82889,47568
Cer 42:2 [M+H-H2O]+_1424,2685,NAN,1541,NAN,3078,NAN,2140,NAN,2617,NAN,1597,NAN,2379,NAN,1593,NAN,1820,NAN,1631,NAN,4437,1941,5386,NAN,2369,NAN,1493,NAN,3306,NAN,2643,NAN,1836,NAN,NAN,NAN,1733,NAN,1826,NAN,2955,NAN,NAN,2339,NAN,3297,NAN,2611,NAN,1960,NAN,2071,NAN,2460,NAN,1115,NAN,1767,NAN,2605,NAN,4545,NAN,1365,1134,3183,NAN,NAN,NAN,2454,NAN,1990,NAN,1523,NAN,1060,NAN,3300,NAN,3391,1990,3352,NAN,2681,NAN,2081,NAN,2387,NAN,1779,NAN,NAN,NAN,NAN,NAN,2455,1231,4809,1058,NAN,2459,NAN,2435,NAN,1467,NAN,3545,NAN,3610,NAN,3658,NAN,3065,NAN,2715,NAN,2975,NAN,3887,NAN,1652,NAN,2766,NAN,2580,NAN,1895,NAN,1048,NAN,2604,NAN,2968,NAN,2202,NAN,NAN,NAN,1472,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_1385,3265,NAN,1743,NAN,NAN,NAN,2562,NAN,3062,NAN,2011,NAN,2202,NAN,2013,NAN,2178,NAN,1887,NAN,2282,1195,3979,1170,2579,NAN,1977,NAN,NAN,NAN,2358,NAN,2482,NAN,1442,NAN,2217,NAN,2540,NAN,NAN,NAN,NAN,NAN,NAN,2606,NAN,2364,NAN,2010,NAN,2225,NAN,3177,NAN,1982,NAN,1542,NAN,NAN,NAN,NAN,NAN,2450,1977,4083,NAN,2255,NAN,2812,NAN,2505,NAN,2568,NAN,2048,NAN,2866,NAN,3393,1965,3575,NAN,3017,NAN,1608,NAN,NAN,NAN,2187,NAN,1731,NAN,2426,NAN,2766,1253,3333,1757,NAN,1998,NAN,2845,NAN,1728,NAN,3336,NAN,3336,NAN,3190,NAN,3264,NAN,3288,NAN,3732,NAN,3278,NAN,1645,NAN,2734,NAN,2520,NAN,2247,NAN,1307,NAN,2597,NAN,3361,NAN,2089,NAN,NAN,NAN,2009,NAN,1517,1141
Cer 42:2 [M+H-H2O]+_2730,NAN,NAN,NAN,NAN,2024,NAN,2065,NAN,1739,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1741,NAN,NAN,NAN,1568,NAN,2911,NAN,1302,NAN,NAN,NAN,1431,NAN,NAN,NAN,2043,NAN,NAN,NAN,NAN,NAN,1498,NAN,NAN,NAN,NAN,NAN,NAN,1427,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1284,NAN,1817,NAN,1774,NAN,1769,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2098,NAN,2897,NAN,2326,NAN,2024,NAN,NAN,NAN,1568,NAN,1434,NAN,NAN,NAN,1660,NAN,1690,1063,3211,NAN,NAN,NAN,NAN,2362,NAN,NAN,NAN,2127,NAN,1558,NAN,1907,NAN,2538,NAN,NAN,NAN,3014,NAN,2961,NAN,1293,NAN,2165,NAN,NAN,NAN,1827,NAN,NAN,NAN,1531,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 42:2 [M+H-H2O]+_4930,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1260,NAN,1706,NAN,NAN,1124,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1290,NAN,1385,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1223,NAN,NAN,NAN,NAN,NAN,1278,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1044,NAN,NAN,NAN,NAN,NAN,NAN,1032,1767,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1047,NAN,NAN,NAN,1500,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1798,NAN,1334,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1078,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1697,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 43:2 [M+H-H2O]+_307,15411,1868,8317,3573,14794,1361,14495,1059,10642,1764,8620,2575,14448,2155,10093,1526,13739,NAN,10712,12035,23026,15429,24013,5031,9558,1669,7915,4352,17041,3550,12916,1837,11639,2248,6327,1709,8311,2604,8557,3045,19458,1522,1300,14473,6205,20578,3085,15068,2542,10548,1536,9069,1836,7437,2121,5610,3673,12516,1288,16968,1366,15071,2523,7131,6244,15184,1886,7236,3507,11305,1268,9121,2405,8049,2125,7277,5371,25639,1575,23835,10406,18953,1403,12824,4107,13150,1828,14245,1926,12540,NAN,6928,2456,12220,2170,15104,11014,33545,6484,3903,19752,2313,15269,1627,8913,4054,19537,1830,19569,4038,24089,1499,21185,5388,14822,1901,16594,7222,21686,1895,11281,3425,19134,1903,18423,4225,13438,1099,6199,1583,15066,1823,16223,1746,15669,1098,5452,2598,7458,1561,7346,4172
Cer 43:2 [M+H-H2O]+_2796,2069,NAN,1072,NAN,1740,NAN,1230,NAN,1714,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1294,NAN,NAN,NAN,1130,NAN,1093,NAN,1129,NAN,NAN,NAN,1383,NAN,1124,NAN,NAN,NAN,NAN,NAN,1395,NAN,1258,NAN,2159,NAN,NAN,1634,NAN,1721,NAN,1060,NAN,1058,NAN,1152,NAN,1338,NAN,NAN,NAN,1379,NAN,1598,NAN,2403,NAN,NAN,NAN,1125,NAN,NAN,NAN,1391,NAN,NAN,NAN,1291,NAN,NAN,NAN,1443,NAN,1305,1047,2341,NAN,1350,NAN,1061,NAN,1105,NAN,1323,NAN,1079,NAN,NAN,NAN,1267,NAN,1819,NAN,NAN,NAN,NAN,1223,NAN,NAN,NAN,1574,NAN,1447,NAN,1263,NAN,1159,NAN,1468,NAN,1842,NAN,1210,NAN,NAN,NAN,1223,NAN,1111,NAN,1658,NAN,NAN,NAN,1553,NAN,1703,NAN,1341,NAN,NAN,NAN,NAN,NAN,NAN,NAN
Cer 43:2 [M+H-H2O]+_1007,3399,NAN,2693,1582,1706,NAN,3083,NAN,2112,1078,3024,NAN,1629,NAN,3205,NAN,2503,NAN,2721,NAN,3378,2148,2770,2251,3547,NAN,3388,1281,3066,NAN,3106,NAN,2171,NAN,2417,NAN,2741,1017,3737,1191,3820,1128,NAN,2722,1900,3236,NAN,3230,1292,2934,NAN,3194,1184,3185,1269,2856,NAN,1541,NAN,1996,NAN,2961,2132,4168,3145,4042,1142,3670,1428,3842,NAN,3355,1213,4131,NAN,4350,1642,4389,NAN,3768,2543,2034,NAN,1966,NAN,2601,NAN,3080,NAN,1790,NAN,1733,NAN,2137,NAN,5544,2326,5554,1799,1156,4457,1365,5650,NAN,3275,1287,3963,NAN,3880,1290,2185,NAN,2642,1438,4401,NAN,1950,1905,1792,NAN,1894,NAN,2167,NAN,1862,1541,2078,NAN,2302,NAN,2597,NAN,2760,NAN,2639,NAN,2041,1355,2153,NAN,2898,2348
Cer 44:2 [M+H-H2O]+_358,11947,2009,6089,3614,13434,1687,11095,1563,8192,2070,5548,2454,11507,2389,8361,1499,9401,NAN,8997,10915,11897,12293,14683,4343,7948,1938,6300,3149,9169,2530,7294,1976,8993,2053,5409,2186,6891,2861,7291,2641,13206,1655,1511,10603,5774,16356,3325,14396,2496,9290,1898,8637,2430,6160,2338,6325,3132,8626,1532,15568,2226,11920,2633,5993,4944,11936,2498,6823,2826,8142,1531,8517,1963,5925,1843,5398,4088,17617,1824,15690,6671,13907,1497,10365,2952,8268,2175,10010,1998,12131,1323,7621,2388,9832,2311,13534,6191,22605,5637,3021,13162,2347,11534,1724,7412,3552,15879,2298,14512,3871,22996,1628,18982,4152,11123,2092,12556,5663,18985,1963,9362,3401,16141,2357,14409,3860,9691,1534,5342,2210,11628,2404,13515,1987,13074,1338,5243,2652,6716,1712,6536,3713
Cer 44:2 [M+H-H2O]+_1761,1984,NAN,1522,NAN,1251,NAN,1620,NAN,1025,NAN,1505,NAN,1139,NAN,1800,NAN,1182,NAN,2003,NAN,1316,1149,1390,1372,2087,NAN,1883,NAN,1196,NAN,1534,NAN,1378,NAN,1336,NAN,1670,NAN,2207,NAN,1906,NAN,NAN,1407,1107,1798,NAN,2098,NAN,1800,NAN,2024,NAN,2102,NAN,1913,NAN,NAN,NAN,1527,NAN,1590,1277,2115,1743,2435,NAN,2344,NAN,2418,NAN,2115,NAN,2017,NAN,2085,NAN,2212,NAN,1692,1285,NAN,NAN,1051,NAN,1019,NAN,1611,NAN,NAN,NAN,NAN,NAN,1102,NAN,2848,1067,1998,1152,NAN,1896,NAN,2525,NAN,2158,NAN,2220,NAN,2079,NAN,1153,NAN,1465,NAN,2210,NAN,NAN,NAN,NAN,NAN,1094,NAN,1066,NAN,NAN,NAN,1122,NAN,1547,NAN,1568,NAN,1973,NAN,1696,NAN,1294,NAN,1709,NAN,2190,1051
DG 29:4 [M+H-H2O]+_1770,NAN,1340,1508,1662,1244,1179,NAN,1861,NAN,1072,1303,1321,1286,1045,1370,1245,1024,4773,1089,NAN,NAN,1069,NAN,1264,1143,1190,1172,1235,NAN,1413,1138,NAN,NAN,NAN,NAN,1390,1614,1588,1725,1384,NAN,NAN,1389,NAN,NAN,NAN,NAN,1221,1086,NAN,1168,1494,1284,NAN,NAN,1216,NAN,1342,1093,1031,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1073,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1124,1506,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1207,NAN,NAN,1173,NAN,1894,1167,1448,1581,1998,1165,1372,1594,1180,1523,1618,1373,1706,1041,2347,NAN,1235,1054,1790,1648,2366,1780,2013,1553,2035,1039,2045,NAN,1700,1291,1916,2418,2649,1297,1201,1024,3073,1135,NAN,1649,NAN,1048,1872,NAN,1013
